2019-06-10 20:40:42 status unpacked hostname:amd64 3.16ubuntu2
2019-06-10 20:40:42 status unpacked hostname:amd64 3.16ubuntu2
2019-06-10 20:40:42 install init:amd64 <none> 1.29ubuntu1
2019-06-10 20:40:42 status half-installed init:amd64 1.29ubuntu1
2019-06-10 20:40:42 status unpacked init:amd64 1.29ubuntu1
2019-06-10 20:40:42 status unpacked init:amd64 1.29ubuntu1
2019-06-10 20:40:42 install init-system-helpers:all <none> 1.29ubuntu1
2019-06-10 20:40:42 status half-installed init-system-helpers:all 1.29ubuntu1
2019-06-10 20:40:42 status unpacked init-system-helpers:all 1.29ubuntu1
2019-06-10 20:40:42 status unpacked init-system-helpers:all 1.29ubuntu1
2019-06-10 20:40:42 install initscripts:amd64 <none> 2.88dsf-59.3ubuntu2
2019-06-10 20:40:42 status half-installed initscripts:amd64 2.88dsf-59.3ubuntu2
2019-06-10 20:40:42 status unpacked initscripts:amd64 2.88dsf-59.3ubuntu2
2019-06-10 20:40:42 status unpacked initscripts:amd64 2.88dsf-59.3ubuntu2
2019-06-10 20:40:42 install insserv:amd64 <none> 1.14.0-5ubuntu3
2019-06-10 20:40:42 status half-installed insserv:amd64 1.14.0-5ubuntu3
2019-06-10 20:40:42 status unpacked insserv:amd64 1.14.0-5ubuntu3
2019-06-10 20:40:42 status unpacked insserv:amd64 1.14.0-5ubuntu3
2019-06-10 20:40:42 install libacl1:amd64 <none> 2.2.52-3
2019-06-10 20:40:42 status half-installed libacl1:amd64 2.2.52-3
2019-06-10 20:40:42 status unpacked libacl1:amd64 2.2.52-3
2019-06-10 20:40:42 status unpacked libacl1:amd64 2.2.52-3
2019-06-10 20:40:42 install libapparmor1:amd64 <none> 2.10.95-0ubuntu2
2019-06-10 20:40:42 status half-installed libapparmor1:amd64 2.10.95-0ubuntu2
2019-06-10 20:40:42 status unpacked libapparmor1:amd64 2.10.95-0ubuntu2
2019-06-10 20:40:42 status unpacked libapparmor1:amd64 2.10.95-0ubuntu2
2019-06-10 20:40:42 install libattr1:amd64 <none> 1:2.4.47-2
2019-06-10 20:40:42 status half-installed libattr1:amd64 1:2.4.47-2
2019-06-10 20:40:42 status unpacked libattr1:amd64 1:2.4.47-2
2019-06-10 20:40:42 status unpacked libattr1:amd64 1:2.4.47-2
2019-06-10 20:40:42 install libaudit-common:all <none> 1:2.4.5-1ubuntu2
2019-06-10 20:40:42 status half-installed libaudit-common:all 1:2.4.5-1ubuntu2
2019-06-10 20:40:42 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2019-06-10 20:40:42 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2019-06-10 20:40:42 install libaudit1:amd64 <none> 1:2.4.5-1ubuntu2
2019-06-10 20:40:42 status half-installed libaudit1:amd64 1:2.4.5-1ubuntu2
2019-06-10 20:40:42 status unpacked libaudit1:amd64 1:2.4.5-1ubuntu2
2019-06-10 20:40:42 status unpacked libaudit1:amd64 1:2.4.5-1ubuntu2
2019-06-10 20:40:42 install libblkid1:amd64 <none> 2.27.1-6ubuntu3
2019-06-10 20:40:42 status half-installed libblkid1:amd64 2.27.1-6ubuntu3
2019-06-10 20:40:42 status unpacked libblkid1:amd64 2.27.1-6ubuntu3
2019-06-10 20:40:42 status unpacked libblkid1:amd64 2.27.1-6ubuntu3
2019-06-10 20:40:42 install libbz2-1.0:amd64 <none> 1.0.6-8
2019-06-10 20:40:42 status half-installed libbz2-1.0:amd64 1.0.6-8
2019-06-10 20:40:42 status unpacked libbz2-1.0:amd64 1.0.6-8
2019-06-10 20:40:42 status unpacked libbz2-1.0:amd64 1.0.6-8
2019-06-10 20:40:42 install libc-bin:amd64 <none> 2.23-0ubuntu3
2019-06-10 20:40:42 status half-installed libc-bin:amd64 2.23-0ubuntu3
2019-06-10 20:40:42 status unpacked libc-bin:amd64 2.23-0ubuntu3
2019-06-10 20:40:42 status unpacked libc-bin:amd64 2.23-0ubuntu3
2019-06-10 20:40:42 upgrade libc6:amd64 2.23-0ubuntu3 2.23-0ubuntu3
2019-06-10 20:40:42 status half-configured libc6:amd64 2.23-0ubuntu3
2019-06-10 20:40:42 status unpacked libc6:amd64 2.23-0ubuntu3
2019-06-10 20:40:42 status half-installed libc6:amd64 2.23-0ubuntu3
2019-06-10 20:40:43 status half-installed libc6:amd64 2.23-0ubuntu3
2019-06-10 20:40:43 status unpacked libc6:amd64 2.23-0ubuntu3
